skin_tone,recommended_outfit_(men),why_this_outfit_(men),shade,preferred_colors,style
Fair,Blue Casual Shirt,"Matches fair skin tone, blue/white colors, and casual summer style.",Cool,"Blue, White, Pastels",casual
Tan,Mustard Yellow Casual Shirt + Brown Pants,"Fits tan skin tone, and mustard yellow/brown preferences for formal wear.",Warm,"Earth Tones, Mustard",casual
Medium,Red T-shirt + Black Jeans,"Matches medium skin tone with red/black colors, and is great for casual wear.",Neutral,"Red, Black, Olive",casual
Dark,Blue Hoodie + Brown Pants,"Suits dark skin tone, blue/brown colors, and streetwear style for winter.",Deep,"Bold Colors, Navy",casual
Honey,Deep Red Shirt + Olive Pants,"Elegant and stylish for honey skin with deep red/olive tones, perfect for evening wear.",Golden,"Deep Reds, Gold",casual
Caramel,Burgundy Turtleneck + Black Jeans,"Fits caramel skin tone and burgundy/black colors, ideal for sophisticated wear.",Balanced,Neutral Palette,casual
Deep Tan,Emerald Green Shirt + Black Pants,"Luxury wear, fits deep tan skin and emerald green/black color preferences.",Balanced,Neutral Palette,casual
Warm Brown,Gold Buttoned Blazer + Dark Blue Pants,"Suits warm brown skin and gold/dark blue colors, ideal for business casual or evening.",Balanced,Neutral Palette,casual
Ebony,Royal Blue T-shirt + Dark Gray Pants,"Matches ebony skin with royal blue/dark gray colors, trendy for streetwear.",Balanced,Neutral Palette,casual
Porcelain,Soft Gray Blazer + Charcoal Pants,"Perfect for porcelain skin with soft gray/charcoal colors, ideal for minimalist style.",Balanced,Neutral Palette,casual
Light,Peach T-shirt + Olive Pants,"Chic and casual for light skin with peach/teal colors, great for beach brunches.",Balanced,Neutral Palette,casual
Beige,Olive Green Shirt + Cream Pants,Perfect for beige skin with olive green/navy colors for smart casual or fall wear.,Balanced,Neutral Palette,casual
Olive,Burnt Orange Shirt + Beige Pants,Matches olive skin tone and burnt orange/charcoal colors for a boho style.,Balanced,Neutral Palette,casual
Deep Dark,Silver Shirt + Burgundy Pants,"Edgy fashion, perfect for deep dark skin with silver/plum tones.",Balanced,Neutral Palette,casual
Fair,White Button-down Shirt + Light Blue Jeans,"Fits fair skin tone, light blue/white colors, perfect for casual wear.",Cool,"Blue, White, Pastels",casual
Tan,Olive Green Shirt + Khaki Pants,Matches tan skin tone with olive green/khaki tones for a relaxed look.,Warm,"Earth Tones, Mustard",casual
Medium,Black Polo Shirt + Charcoal Pants,"Suits medium skin tone, black/charcoal for a sleek look.",Neutral,"Red, Black, Olive",casual
Dark,Gray Sweatshirt + Black Joggers,"Matches dark skin with gray/black tones, ideal for winter wear.",Deep,"Bold Colors, Navy",casual
Honey,Dark Green Jacket + Brown Pants,Matches honey skin tone with dark green/brown for a trendy look.,Golden,"Deep Reds, Gold",casual
Caramel,Light Blue Shirt + Tan Shorts,Suits caramel skin with light blue and tan tones for a summer look.,Balanced,Neutral Palette,casual
Deep Tan,Charcoal Blazer + Black Trousers,"Elegant and sleek, matches deep tan skin with charcoal/black tones.",Balanced,Neutral Palette,casual
